Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density,Cluster
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.4146505,1,37,18-25,Male,0.051921198,0,Poor,1,2,Moderate,8,2,58.62572028,7412.75276,Wet,Weather,4,40499.85698,22072.8785,Europe,3866.273014,0
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.3113581,3,96,18-25,Female,0.234893467,1,Poor,1,1,Minor,6,1,58.0413799,4458.62882,Snow-covered,Mechanical Failure,3,6486.600073,9534.399441,North America,2333.916224,1
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.286506,4,62,41-60,Male,0.142365603,0,Moderate,0,0,Moderate,13,4,42.37445241,9856.915064,Wet,Speeding,4,29164.41298,58009.14512,South America,4408.889129,3
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.3845355,2,78,18-25,Male,0.120814772,1,Good,2,0,Minor,6,3,48.55401429,4958.646267,Icy,Distracted Driving,3,25797.21257,20907.1513,Australia,2810.822423,1
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.3448498,1,98,41-60,Male,0.155841591,1,Poor,0,1,Moderate,13,4,18.31824973,3843.191463,Icy,Distracted Driving,8,15605.29392,13584.06076,South America,3883.645634,1
India,2010,May,Monday,Evening,Urban,Street,Snowy,479.2168336,2,30,18-25,Male,0.084002319,1,Moderate,2,2,Severe,10,4,8.205994095,360.9517952,Dry,Speeding,7,40980.71816,45995.60525,South America,3626.074027,2
China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.1762173,3,92,41-60,Male,0.075292926,0,Poor,2,1,Moderate,10,3,17.85166277,7607.804705,Wet,Weather,9,47248.02024,52342.43181,Asia,3408.182341,3
USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.60868773,3,61,26-40,Male,0.051610863,0,Good,1,1,Minor,6,2,46.74036668,6061.407002,Dry,Speeding,8,4262.755621,70652.22352,South America,408.2964528,1
Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.8286755,3,106,26-40,Male,0.159767534,1,Poor,1,2,Minor,4,2,26.54360962,3793.850542,Snow-covered,Mechanical Failure,5,37624.77598,13724.63095,Europe,2058.898279,2
USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.9654082,3,74,18-25,Male,0.097620529,1,Moderate,1,0,Minor,2,3,44.69335546,1140.429308,Snow-covered,Distracted Driving,0,15801.19008,61948.86275,Australia,1840.206143,1
